2025-11-23 17:35:56.947 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-11-23 17:35:56.947 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2025-11-23 17:35:56.965 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-11-23 17:35:56.970 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-11-23 17:35:56.973 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-11-23 17:35:56.977 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-11-23 17:35:56.985 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/home/cnnc_intern/protein/Langchain-Chatchat/tools/model_loaders
2025-11-23 17:35:56.986 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2025-11-23 17:35:56.988 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2025-11-23 17:35:57.105 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2025-11-23 17:35:57.764 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2025-11-23 17:35:57.764 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2025-11-23 17:35:57.764 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
